x,y
-2.0287,3.7151
-2.0375,3.7153
-2.0458,3.7144
-2.0537,3.7123
-2.0613,3.7091
-2.0685,3.7048
-2.0755,3.6994
-2.0823,3.6931
-2.0888,3.6857
-2.0953,3.6773
-2.1016,3.6680
-2.1079,3.6578
-2.1143,3.6466
-2.1206,3.6347
-2.1271,3.6218
-2.1338,3.6082
-2.1406,3.5938
-2.1477,3.5786
-2.1550,3.5627
-2.1627,3.5461
-2.1708,3.5288
-2.1793,3.5109
-2.1883,3.4923
-2.1979,3.4732
-2.2080,3.4535
-2.2186,3.4332
-2.2298,3.4124
-2.2416,3.3911
-2.2539,3.3693
-2.2667,3.3469
-2.2800,3.3241
-2.2938,3.3008
-2.3081,3.2770
-2.3229,3.2528
-2.3381,3.2281
-2.3537,3.2030
-2.3698,3.1775
-2.3862,3.1516
-2.4031,3.1252
-2.4204,3.0985
-2.4380,3.0714
-2.4560,3.0439
-2.4743,3.0161
-2.4930,2.9879
-2.5119,2.9594
-2.5312,2.9306
-2.5508,2.9015
-2.5706,2.8721
-2.5908,2.8424
-2.6111,2.8124
-2.6317,2.7821
-2.6525,2.7516
-2.6735,2.7208
-2.6947,2.6898
-2.7160,2.6585
-2.7375,2.6269
-2.7591,2.5951
-2.7807,2.5631
-2.8025,2.5308
-2.8243,2.4983
-2.8462,2.4656
-2.8680,2.4326
-2.8899,2.3994
-2.9118,2.3660
-2.9336,2.3324
-2.9554,2.2986
-2.9771,2.2646
-2.9987,2.2304
-3.0203,2.1960
-3.0416,2.1614
-3.0629,2.1266
-3.0840,2.0917
-3.1049,2.0565
-3.1256,2.0212
-3.1460,1.9858
-3.1663,1.9501
-3.1863,1.9143
-3.2060,1.8784
-3.2254,1.8423
-3.2445,1.8061
-3.2632,1.7697
-3.2816,1.7332
-3.2997,1.6966
-3.3173,1.6598
-3.3345,1.6229
-3.3514,1.5859
-3.3677,1.5488
-3.3836,1.5116
-3.3991,1.4743
-3.4140,1.4369
-3.4284,1.3994
-3.4422,1.3617
-3.4555,1.3241
-3.4683,1.2863
-3.4804,1.2484
-3.4919,1.2105
-3.5028,1.1725
-3.5131,1.1345
-3.5226,1.0964
-3.5315,1.0582
-3.5397,1.0200
-3.5471,0.9817
-3.5539,0.9434
-3.5599,0.9051
-3.5652,0.8667
-3.5699,0.8282
-3.5739,0.7897
-3.5772,0.7512
-3.5799,0.7126
-3.5819,0.6740
-3.5833,0.6354
-3.5841,0.5967
-3.5843,0.5580
-3.5838,0.5192
-3.5828,0.4804
-3.5812,0.4415
-3.5790,0.4026
-3.5763,0.3637
-3.5730,0.3248
-3.5692,0.2858
-3.5648,0.2467
-3.5599,0.2077
-3.5545,0.1686
-3.5487,0.1294
-3.5423,0.0903
-3.5354,0.0511
-3.5281,0.0118
-3.5203,-0.0274
-3.5120,-0.0667
-3.5033,-0.1060
-3.4942,-0.1454
-3.4847,-0.1848
-3.4747,-0.2242
-3.4644,-0.2636
-3.4536,-0.3031
-3.4425,-0.3426
-3.4310,-0.3821
-3.4192,-0.4217
-3.4070,-0.4612
-3.3944,-0.5008
-3.3815,-0.5405
-3.3683,-0.5801
-3.3548,-0.6198
-3.3410,-0.6595
-3.3269,-0.6992
-3.3126,-0.7389
-3.2979,-0.7787
-3.2830,-0.8184
-3.2679,-0.8582
-3.2525,-0.8980
-3.2369,-0.9379
-3.2210,-0.9777
-3.2050,-1.0176
-3.1887,-1.0575
-3.1723,-1.0974
-3.1557,-1.1373
-3.1389,-1.1772
-3.1219,-1.2172
-3.1048,-1.2572
-3.0876,-1.2971
-3.0702,-1.3371
-3.0528,-1.3771
-3.0352,-1.4171
-3.0175,-1.4572
-2.9997,-1.4972
-2.9818,-1.5372
-2.9639,-1.5773
-2.9459,-1.6174
-2.9279,-1.6574
-2.9098,-1.6975
-2.8917,-1.7376
-2.8736,-1.7777
-2.8555,-1.8178
-2.8374,-1.8579
-2.8192,-1.8980
-2.8012,-1.9381
-2.7831,-1.9783
-2.7651,-2.0184
-2.7471,-2.0585
-2.7292,-2.0987
-2.7114,-2.1388
-2.6936,-2.1789
-2.6760,-2.2191
-2.6584,-2.2592
-2.6410,-2.2993
-2.6237,-2.3395
-2.6065,-2.3796
-2.5894,-2.4197
-2.5725,-2.4599
-2.5558,-2.5000
-2.5392,-2.5401
-2.5229,-2.5802
-2.5067,-2.6203
-2.4907,-2.6604
-2.4749,-2.7005
-2.4594,-2.7406
-2.4441,-2.7807
-2.4290,-2.8208
-2.4142,-2.8609
-2.3997,-2.9009
-2.3854,-2.9410
-2.3714,-2.9810
-2.3577,-3.0211
-2.3443,-3.0611
-2.3312,-3.1011
-2.3184,-3.1411
-2.3059,-3.1811
-2.2937,-3.2210
-2.2819,-3.2609
-2.2704,-3.3009
-2.2592,-3.3407
-2.2484,-3.3806
-2.2379,-3.4204
-2.2278,-3.4603
-2.2181,-3.5000
-2.2087,-3.5398
-2.1997,-3.5795
-2.1911,-3.6192
-2.1829,-3.6588
-2.1750,-3.6984
-2.1676,-3.7380
-2.1606,-3.7776
-2.1540,-3.8170
-2.1478,-3.8565
-2.1420,-3.8959
-2.1367,-3.9353
-2.1318,-3.9746
-2.1274,-4.0138
-2.1234,-4.0531
-2.1198,-4.0922
-2.1168,-4.1313
-2.1142,-4.1704
-2.1120,-4.2094
-2.1104,-4.2483
-2.1092,-4.2872
-2.1086,-4.3260
